time,odom_x,odom_y,fused_x,fused_y,lidar_avg
1763896902106,0.744346,-0.480024,0.74435,-0.480026,
1763896902136,0.744347,-0.480024,0.744351,-0.480026,
1763896902171,0.744349,-0.480024,0.744352,-0.480026,
1763896902212,0.74435,-0.480024,0.744353,-0.480026,
1763896902247,0.744351,-0.480024,0.744354,-0.480026,
1763896902284,0.744352,-0.480024,0.744355,-0.480025,
1763896902320,0.744353,-0.480024,0.744356,-0.480025,
1763896902370,0.744355,-0.480024,0.744357,-0.480025,
1763896902411,0.744356,-0.480024,0.744358,-0.480025,
1763896902457,0.744357,-0.480023,0.744359,-0.480025,
1763896902492,0.744358,-0.480023,0.74436,-0.480025,
1763896902528,0.744359,-0.480023,0.744361,-0.480025,
1763896902569,0.744361,-0.480023,0.744363,-0.480024,
1763896902615,0.744362,-0.480023,0.744364,-0.480024,
1763896902660,0.744363,-0.480023,0.744365,-0.480024,
1763896902699,0.744364,-0.480023,0.744366,-0.480024,
1763896902737,0.744365,-0.480023,0.744367,-0.480024,
1763896902770,0.744367,-0.480023,0.744368,-0.480024,
1763896902808,0.744368,-0.480023,0.744369,-0.480024,
1763896902851,0.744369,-0.480023,0.74437,-0.480024,
1763896902895,0.74437,-0.480023,0.744371,-0.480024,
1763896902934,0.744371,-0.480023,0.744373,-0.480024,
1763896902973,0.744373,-0.480023,0.744374,-0.480024,
1763896903020,0.744374,-0.480023,0.744375,-0.480024,
1763896903062,0.744375,-0.480023,0.744376,-0.480023,
1763896903097,0.744376,-0.480023,0.744377,-0.480023,
1763896903133,0.744377,-0.480023,0.744378,-0.480023,
1763896903173,0.744379,-0.480023,0.74438,-0.480023,
1763896903230,0.74438,-0.480023,0.744381,-0.480023,
1763896903266,0.744381,-0.480022,0.744382,-0.480023,
1763896903306,0.744382,-0.480022,0.744383,-0.480023,
1763896903354,0.744383,-0.480022,0.744384,-0.480023,
1763896903387,0.744385,-0.480022,0.744385,-0.480023,
1763896903428,0.744386,-0.480022,0.744386,-0.480023,
1763896903463,0.744387,-0.480022,0.744388,-0.480023,
1763896903511,0.744388,-0.480022,0.744389,-0.480023,
1763896903544,0.744389,-0.480022,0.74439,-0.480023,
1763896903587,0.744391,-0.480022,0.744391,-0.480022,
1763896903625,0.744392,-0.480022,0.744392,-0.480022,
1763896903666,0.744393,-0.480022,0.744393,-0.480022,
1763896903701,0.744394,-0.480022,0.744395,-0.480022,
1763896903752,0.744395,-0.480022,0.744396,-0.480022,
1763896903797,0.744397,-0.480022,0.744397,-0.480022,
1763896903842,0.744398,-0.480022,0.744398,-0.480022,
1763896903876,0.744399,-0.480022,0.744399,-0.480022,
1763896903909,0.7444,-0.480022,0.7444,-0.480022,
1763896903961,0.744401,-0.480022,0.744402,-0.480022,
1763896904001,0.744403,-0.480022,0.744403,-0.480022,
1763896904052,0.744404,-0.480022,0.744404,-0.480022,
1763896904110,0.744405,-0.480022,0.744405,-0.480022,
1763896904134,0.744406,-0.480022,0.744406,-0.480022,
1763896904169,0.744407,-0.480022,0.744408,-0.480022,
1763896904220,0.744409,-0.480021,0.744409,-0.480022,
1763896904263,0.74441,-0.480021,0.74441,-0.480022,
1763896904289,0.744411,-0.480021,0.744411,-0.480021,
1763896904327,0.744412,-0.480021,0.744412,-0.480021,
1763896904366,0.744413,-0.480021,0.744414,-0.480021,
1763896904397,0.744414,-0.480021,0.744415,-0.480021,
1763896904453,0.744416,-0.480021,0.744416,-0.480021,
1763896904485,0.744417,-0.480021,0.744417,-0.480021,
1763896904533,0.744418,-0.480021,0.744418,-0.480021,
1763896904560,0.744419,-0.480021,0.744419,-0.480021,
1763896904591,0.74442,-0.480021,0.744421,-0.480021,
1763896904629,0.744422,-0.480021,0.744422,-0.480021,
1763896904679,0.744423,-0.480021,0.744423,-0.480021,
1763896904712,0.744424,-0.480021,0.744424,-0.480021,
1763896904761,0.744425,-0.480021,0.744425,-0.480021,
1763896904799,0.744426,-0.480021,0.744427,-0.480021,
1763896904841,0.744428,-0.480021,0.744428,-0.480021,
1763896904878,0.744429,-0.480021,0.744429,-0.480021,
1763896904929,0.74443,-0.480021,0.74443,-0.480021,
1763896904972,0.744431,-0.480021,0.744431,-0.480021,
1763896905010,0.744432,-0.480021,0.744432,-0.480021,
1763896905049,0.744434,-0.480021,0.744434,-0.480021,
1763896905094,0.744435,-0.48002,0.744435,-0.480021,
1763896905134,0.744436,-0.48002,0.744436,-0.48002,
1763896905174,0.744437,-0.48002,0.744437,-0.48002,
1763896905216,0.744438,-0.48002,0.744439,-0.48002,
1763896905262,0.74444,-0.48002,0.74444,-0.48002,
1763896905306,0.744441,-0.48002,0.744441,-0.48002,
1763896905347,0.744442,-0.48002,0.744442,-0.48002,
1763896905389,0.744443,-0.48002,0.744443,-0.48002,
1763896905422,0.744444,-0.48002,0.744444,-0.48002,
1763896905462,0.744446,-0.48002,0.744446,-0.48002,
1763896905502,0.744447,-0.48002,0.744447,-0.48002,
1763896905546,0.744448,-0.48002,0.744448,-0.48002,
1763896905602,0.744449,-0.48002,0.744449,-0.48002,
1763896905637,0.74445,-0.48002,0.74445,-0.48002,
1763896905683,0.744452,-0.48002,0.744452,-0.48002,
