x,y,z,yaw
0.2,-1.9,0.5,180.00
-0.8,-1.9,0.5,180.00
-1.8,-1.9,0.5,180.00
-2.8,-1.9,0.5,180.00
-3.8,-1.9,0.5,180.00
-4.8,-1.9,0.5,180.00
-5.8,-1.9,0.5,180.00
-6.8,-1.9,0.5,180.00
-7.8,-1.9,0.5,180.00
-8.8,-1.9,0.5,180.00
-28.8,-1.9,0.5,180.00
-29.8,-1.9,0.5,180.00
-30.8,-1.9,0.5,180.00
-31.8,-1.9,0.5,180.00
-32.8,-1.9,0.5,180.00
-33.8,-1.9,0.5,180.00
-34.8,-1.9,0.5,180.00
-35.8,-1.9,0.5,180.00
-36.8,-1.9,0.5,180.00
-37.2,-35.6,0.5,-90.85
-36.2,-35.6,0.5,0.00
-35.2,-35.6,0.5,0.00
-34.2,-35.6,0.5,0.00
-33.2,-35.6,0.5,0.00
-32.2,-35.6,0.5,0.00
-31.2,-35.6,0.5,0.00
-30.2,-35.6,0.5,0.00
-29.2,-35.6,0.5,0.00
-28.2,-35.6,0.5,0.00
-27.2,-35.6,0.5,0.00
-26.2,-35.6,0.5,0.00
-25.2,-35.6,0.5,0.00
-24.2,-35.6,0.5,0.00
-23.2,-35.6,0.5,0.00
-14.2,-35.6,0.5,0.00
-13.2,-35.6,0.5,0.00
-12.2,-35.6,0.5,0.00
-11.2,-35.6,0.5,0.00
-10.2,-35.6,0.5,0.00
-9.2,-35.6,0.5,0.00
-8.2,-35.6,0.5,0.00
-7.2,-35.6,0.5,0.00
-6.2,-35.6,0.5,0.00
-5.2,-35.6,0.5,0.00
-4.2,-35.6,0.5,0.00
-3.2,-35.6,0.5,0.00
-2.2,-35.6,0.5,0.00
-1.2,-35.6,0.5,0.00
-0.2,-35.6,0.5,0.00
0.8,-35.6,0.5,0.00
1.8,-35.6,0.5,0.00
2.8,-35.6,0.5,0.00
3.8,-35.6,0.5,0.00
4.8,-35.6,0.5,0.00
5.8,-35.6,0.5,0.00
6.8,-35.6,0.5,0.00
7.8,-35.6,0.5,0.00
8.8,-35.6,0.5,0.00
9.8,-35.6,0.5,0.00
10.8,-35.6,0.5,0.00
11.8,-35.6,0.5,0.00
12.8,-35.6,0.5,0.00
13.8,-35.6,0.5,0.00
14.8,-35.6,0.5,0.00
22.8,-35.6,0.5,0.00
23.8,-35.6,0.5,0.00
24.8,-35.6,0.5,0.00
25.8,-35.6,0.5,0.00
26.8,-35.6,0.5,0.00
27.8,-35.6,0.5,0.00
28.8,-35.6,0.5,0.00
29.8,-35.6,0.5,0.00
30.8,-35.6,0.5,0.00
31.8,-35.6,0.5,0.00
32.8,-35.6,0.5,0.00
33.8,-35.6,0.5,0.00
34.8,-35.6,0.5,0.00
35.8,-35.6,0.5,0.00
36.8,-35.6,0.5,0.00
37.2,-31.9,0.5,82.39
36.2,-31.9,0.5,180.00
35.2,-31.9,0.5,180.00
34.2,-31.9,0.5,180.00
33.2,-31.9,0.5,180.00
32.2,-31.9,0.5,180.00
31.2,-31.9,0.5,180.00
30.2,-31.9,0.5,180.00
29.2,-31.9,0.5,180.00
28.2,-31.9,0.5,180.00
27.2,-31.9,0.5,180.00
26.2,-31.9,0.5,180.00
25.2,-31.9,0.5,180.00
24.2,-31.9,0.5,180.00
23.2,-31.9,0.5,180.00
14.2,-31.9,0.5,180.00
13.2,-31.9,0.5,180.00
12.2,-31.9,0.5,180.00
11.2,-31.9,0.5,180.00
10.2,-31.9,0.5,180.00
9.2,-31.9,0.5,180.00
8.2,-31.9,0.5,180.00
7.2,-31.9,0.5,180.00
6.2,-31.9,0.5,180.00
5.2,-31.9,0.5,180.00
4.2,-31.9,0.5,180.00
3.2,-31.9,0.5,180.00
2.2,-31.9,0.5,180.00
1.2,-31.9,0.5,180.00
0.2,-31.9,0.5,180.00
-0.8,-31.9,0.5,180.00
-1.8,-31.9,0.5,180.00
-2.8,-31.9,0.5,180.00
