step,x,y,z,yaw,lane_id,segment_id,parent_segment_id,lane_side,direction,direction_group,connect_next
49,-41.714,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
50,-41.429,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
51,-41.143,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
52,-40.857,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
53,-40.571,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
54,-40.286,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
55,-40.0,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
56,-39.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
57,-39.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
58,-38.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
59,-38.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
60,-37.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
61,-37.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
62,-36.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
63,-36.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
64,-35.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
65,-35.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
66,-34.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
67,-34.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
68,-33.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
69,-33.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
70,-32.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
71,-32.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
72,-31.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
73,-31.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
74,-30.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
75,-30.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
76,-29.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
77,-29.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
78,-28.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
79,-28.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
80,-27.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
81,-27.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
82,-26.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
83,-26.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
84,-25.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
85,-25.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
86,-24.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
87,-24.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
88,-23.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
89,-23.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
90,-22.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
91,-22.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
92,-21.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
93,-21.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
94,-20.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
95,-20.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
96,-19.5,24.5,0.5,0.000,H_y26.0_x-20.0_20.0_forward_right,H_y26.0_x-20.0_20.0,H_y26.0_x-20.0_20.0,right,forward,forward_right,1
97,-19.0,24.5,0.5,0.000,H_y26.0_x-20.0_20.0_forward_right,H_y26.0_x-20.0_20.0,H_y26.0_x-20.0_20.0,right,forward,forward_right,1
98,-18.45,24.5,0.5,-2.579,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
99,-18.339,24.495,0.5,-7.836,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
100,-18.23,24.48,0.5,-13.536,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
101,-18.122,24.454,0.5,-18.435,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
