step,x,y,z,yaw
230,-8.062,-34.000,0.500,0.000
231,-7.562,-34.000,0.500,0.000
232,-7.062,-34.000,0.500,0.000
233,-6.562,-34.000,0.500,0.000
234,-6.062,-34.000,0.500,0.000
235,-5.562,-34.000,0.500,0.000
236,-5.062,-34.000,0.500,0.000
237,-4.562,-34.000,0.500,0.000
238,-4.062,-34.000,0.500,0.000
239,-3.562,-34.000,0.500,0.000
240,-3.062,-34.000,0.500,0.000
241,-2.562,-34.000,0.500,0.000
242,-2.062,-34.000,0.500,0.000
243,-1.562,-34.000,0.500,0.000
244,-1.062,-34.000,0.500,0.000
245,-0.562,-34.000,0.500,0.000
246,-0.062,-34.000,0.500,0.000
247,0.438,-34.000,0.500,0.000
248,0.938,-34.000,0.500,0.000
249,1.438,-34.000,0.500,0.000
250,1.938,-34.000,0.500,0.000
251,2.438,-34.000,0.500,0.000
252,2.938,-34.000,0.500,0.000
253,3.438,-34.000,0.500,0.000
254,3.938,-34.000,0.500,0.000
255,4.438,-34.000,0.500,0.000
256,4.938,-34.000,0.500,0.000
257,5.438,-34.000,0.500,0.000
258,5.938,-34.000,0.500,0.000
259,6.438,-34.000,0.500,0.000
260,6.938,-34.000,0.500,0.000
261,7.438,-34.000,0.500,0.000
262,7.938,-34.000,0.500,0.000
263,8.438,-34.000,0.500,0.000
264,8.938,-34.000,0.500,0.000
265,9.438,-34.000,0.500,0.000
266,9.938,-34.000,0.500,0.000
267,10.438,-34.000,0.500,0.000
268,10.938,-34.000,0.500,0.000
269,11.438,-34.000,0.500,0.000
270,11.938,-34.000,0.500,0.000
271,12.438,-34.000,0.500,0.000
272,12.938,-34.000,0.500,0.000
273,13.438,-34.000,0.500,0.000
274,13.938,-34.000,0.500,0.000
275,14.438,-34.000,0.500,0.000
276,14.938,-34.000,0.500,0.000
277,15.438,-34.000,0.500,0.000
278,15.938,-34.000,0.500,0.000
279,16.438,-34.000,0.500,0.000
280,16.938,-34.000,0.500,0.000
281,17.438,-34.000,0.500,0.000
282,17.938,-34.000,0.500,0.000
283,18.438,-34.000,0.500,0.000
284,18.938,-34.000,0.500,0.000
285,19.438,-34.000,0.500,0.000
286,19.938,-34.000,0.500,0.000
287,20.438,-34.000,0.500,0.000
288,20.938,-34.000,0.500,0.000
289,21.438,-34.000,0.500,0.000
290,21.938,-34.000,0.500,0.000
291,22.438,-34.000,0.500,0.000
292,22.938,-34.000,0.500,0.000
293,23.438,-34.000,0.500,0.000
294,23.938,-34.000,0.500,0.000
295,24.438,-34.000,0.500,0.000
296,24.938,-34.000,0.500,0.000
297,25.438,-34.000,0.500,0.000
298,25.938,-34.000,0.500,0.000
299,26.438,-34.000,0.500,0.000
300,26.938,-34.000,0.500,0.000
301,27.438,-34.000,0.500,0.000
302,27.938,-34.000,0.500,0.000
303,28.438,-34.000,0.500,0.000
304,28.938,-34.000,0.500,0.000
305,29.438,-34.000,0.500,0.000
306,29.938,-34.000,0.500,0.000
307,30.438,-34.000,0.500,0.000
308,30.938,-34.000,0.500,0.000
309,31.438,-34.000,0.500,0.000
310,31.938,-34.000,0.500,0.000
311,32.438,-34.000,0.500,0.000
312,32.938,-34.000,0.500,0.000
313,33.438,-34.000,0.500,0.000
314,33.938,-34.000,0.500,0.000
315,34.438,-34.000,0.500,0.000
316,34.938,-34.000,0.500,0.000
317,35.438,-34.000,0.500,0.000
318,35.938,-34.000,0.500,0.000
319,36.438,-34.000,0.500,0.000
320,36.938,-34.000,0.500,0.000
321,37.438,-34.000,0.500,0.000
322,37.938,-34.000,0.500,0.000
323,38.438,-34.000,0.500,0.000
324,38.938,-34.000,0.500,0.000
325,39.438,-34.000,0.500,0.000
326,39.938,-34.000,0.500,0.000
