step,x,y,z,yaw,lane_id,direction_group,segment_id,parent_segment_id,lane_side,direction,connect_next
75,-41.500,11.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
76,-41.500,10.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
77,-41.500,10.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
78,-41.500,9.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
79,-41.500,9.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
80,-41.500,8.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
81,-41.500,8.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
82,-41.500,7.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
83,-41.500,7.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
84,-41.500,6.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
85,-41.500,6.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
86,-41.500,5.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
87,-41.500,5.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
88,-41.500,4.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
89,-41.500,4.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
90,-41.500,3.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
91,-41.500,3.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
