index,x,y,yaw
533,-2.5000,-3.7500,0.000000
534,-1.5000,-3.7500,0.000000
535,-0.5000,-3.7500,0.000000
536,0.5000,-3.7500,0.000000
537,1.5000,-3.7500,0.000000
538,2.5000,-3.7500,0.000000
539,3.5000,-3.7500,0.000000
540,4.5000,-3.7500,0.000000
541,5.5000,-3.7500,0.000000
542,6.5000,-3.7500,0.000000
543,7.5000,-3.7500,0.000000
544,8.5000,-3.7500,0.000000
545,9.5000,-3.7500,0.000000
546,10.5000,-3.7500,0.000000
547,11.5000,-3.7500,0.000000
548,12.5000,-3.7500,0.000000
549,13.5000,-3.7500,0.000000
550,14.5000,-3.7500,0.000000
551,15.5000,-3.7500,0.000000
552,16.5000,-3.7500,0.000000
553,17.5000,-3.7500,0.000000
554,18.5000,-3.7500,0.000000
555,19.5000,-3.7500,0.000000
556,20.5000,-3.7500,0.000000
557,21.5000,-3.7500,0.000000
558,22.5000,-3.7500,0.000000
559,23.5000,-3.7500,0.000000
560,24.5000,-3.7500,0.000000
561,25.5000,-3.7500,0.000000
562,26.5000,-3.7500,0.000000
563,27.5000,-3.7500,0.000000
564,28.6112,-3.5377,0.245437
565,28.7589,-3.0089,0.785398
566,28.7720,-2.3455,1.325359
567,28.7500,-1.5000,1.570796
568,28.7500,-0.5000,1.570796
569,28.7500,0.5000,1.570796
570,28.7500,1.5000,1.570796
571,28.7500,2.5000,1.570796
572,28.7500,3.5000,1.570796
573,28.7500,4.5000,1.570796
574,28.7500,5.5000,1.570796
575,28.7500,6.5000,1.570796
576,28.7500,7.5000,1.570796
577,28.7500,8.5000,1.570796
578,28.7500,9.5000,1.570796
579,28.7500,10.5000,1.570796
580,28.7500,11.5000,1.570796
581,28.7500,12.5000,1.570796
582,28.7500,13.5000,1.570796
583,28.7500,14.5000,1.570796
584,28.7500,15.5000,1.570796
585,28.7500,16.5000,1.570796
586,28.7500,17.5000,1.570796
587,28.7500,18.5000,1.570796
588,28.7500,19.5000,1.570796
589,28.7500,20.5000,1.570796
590,28.7500,21.5000,1.570796
591,28.7500,22.5000,1.570796
592,28.7500,23.5000,1.570796
593,28.7500,24.5000,1.570796
594,28.7500,25.5000,1.570796
595,28.7500,26.5000,1.570796
596,28.7500,27.5000,1.570796
597,28.7500,28.5000,1.570796
598,28.7500,29.5000,1.570796
599,28.7500,30.5000,1.570796
600,28.7500,31.5000,1.570796
601,28.7500,32.5000,1.570796
602,28.5377,33.6112,1.816233
603,28.0089,33.7589,2.356194
604,27.3455,33.7720,2.896156
605,26.5000,33.7500,3.141593
606,25.5000,33.7500,3.141593
607,24.5000,33.7500,3.141593
608,23.5000,33.7500,3.141593
609,22.5000,33.7500,3.141593
610,21.5000,33.7500,3.141593
611,20.5000,33.7500,3.141593
612,19.5000,33.7500,3.141593
613,18.5000,33.7500,3.141593
614,17.5000,33.7500,3.141593
615,16.5000,33.7500,3.141593
616,15.5000,33.7500,3.141593
617,14.5000,33.7500,3.141593
618,13.5000,33.7500,3.141593
619,12.5000,33.7500,3.141593
620,11.5000,33.7500,3.141593
621,10.5000,33.7500,3.141593
622,9.5000,33.7500,3.141593
623,8.5000,33.7500,3.141593
624,7.5000,33.7500,3.141593
625,6.5000,33.7500,3.141593
626,5.5000,33.7500,3.141593
627,4.5000,33.7500,3.141593
628,3.5000,33.7500,3.141593
629,2.5000,33.7500,3.141593
630,1.5000,33.7500,3.141593
631,0.5000,33.7500,3.141593
632,-0.5000,33.7500,3.141593
633,-1.5000,33.7500,3.141593
634,-2.5000,33.7500,3.141593
635,-3.5000,33.7500,3.141593
636,-4.5000,33.7500,3.141593
637,-5.5000,33.7500,3.141593
638,-6.5000,33.7500,3.141593
639,-7.5000,33.7500,3.141593
640,-8.5000,33.7500,3.141593
641,-9.5000,33.7500,3.141593
642,-10.5000,33.7500,3.141593
643,-11.5000,33.7500,3.141593
644,-12.5000,33.7500,3.141593
645,-13.5000,33.7500,3.141593
646,-14.5000,33.7500,3.141593
647,-15.5000,33.7500,3.141593
648,-16.5000,33.7500,3.141593
649,-17.5000,33.7500,3.141593
650,-18.5000,33.7500,3.141593
651,-19.5000,33.7500,3.141593
652,-20.5000,33.7500,3.141593
653,-21.5000,33.7500,3.141593
654,-22.5000,33.7500,3.141593
655,-23.5000,33.7500,3.141593
656,-24.5000,33.7500,3.141593
657,-25.5000,33.7500,3.141593
658,-26.5000,33.7500,3.141593
659,-27.5000,33.7500,3.141593
